Rented_Bike_Count,Hour,Temperature°C,Humidity%,Wind_speed_m_s,Visibility_10m,Rainfallmm,Snowfall_cm,Seasons,Holiday,year,month,weekday
1434,16,28.8,38,3.1,1027,0.0,0.0,1,0,2018,6,1
963,14,11.9,34,2.4,1835,0.0,0.0,2,0,2018,10,2
398,9,6.3,53,0.5,849,0.0,0.0,0,0,2018,3,6
973,13,19.0,15,1.4,2000,0.0,0.0,0,0,2018,4,4
337,1,5.7,75,1.7,706,0.0,0.0,3,0,2017,12,5
705,7,8.5,67,0.7,475,0.0,0.0,0,0,2018,3,1
1492,18,22.3,53,2.7,2000,0.0,0.0,2,1,2018,9,6
585,16,6.6,50,4.0,645,0.0,0.0,0,0,2018,4,4
1185,16,15.3,24,1.5,1534,0.0,0.0,0,0,2018,4,0
1131,9,21.7,48,1.1,1806,0.0,0.0,0,0,2018,5,0
281,3,22.9,93,0.6,2000,0.0,0.0,1,0,2018,8,1
10,20,23.3,97,3.3,183,15.5,0.0,1,0,2018,8,1
178,3,14.9,57,1.1,2000,0.0,0.0,2,0,2018,9,3
36,6,-3.1,54,1.4,1037,0.0,0.0,3,0,2018,1,6
502,1,24.1,67,0.5,686,0.0,0.0,0,0,2018,5,2
1146,21,10.8,57,2.0,1219,0.0,0.0,2,0,2018,11,4
170,22,-3.2,81,3.9,492,0.0,1.0,3,0,2018,1,0
30,5,-9.2,37,1.1,2000,0.0,0.0,3,0,2018,2,0
430,15,4.0,35,3.1,1962,0.0,0.0,3,0,2017,12,3
1726,16,26.5,45,1.6,2000,0.0,0.0,1,0,2018,6,4
1789,8,8.9,48,1.1,1444,0.0,0.0,0,0,2018,4,3
648,8,-2.5,50,1.0,1281,0.0,0.0,3,0,2018,1,4
178,12,-9.6,27,2.0,1945,0.0,0.0,3,0,2018,1,4
1145,12,24.1,73,2.2,992,0.0,0.0,1,0,2018,6,2
30,17,11.9,97,0.7,269,0.0,0.0,2,0,2018,11,3
157,9,8.8,97,1.3,196,0.2,0.0,0,0,2018,3,6
347,4,25.6,77,1.2,1203,0.0,0.0,1,0,2018,7,5
40,23,20.4,96,0.6,1137,1.0,0.0,1,0,2018,7,0
210,15,-4.5,31,4.3,1979,0.0,0.0,3,0,2018,2,5
623,11,33.2,46,1.4,1968,0.0,0.0,1,0,2018,7,0
304,7,6.9,81,0.8,665,0.0,0.0,2,0,2018,10,6
517,0,2.2,30,0.7,1879,0.0,0.0,2,0,2018,11,3
929,18,7.2,26,2.3,1398,0.0,0.0,3,0,2018,2,0
356,12,4.0,23,3.5,1785,0.0,0.0,3,0,2018,2,1
504,13,16.0,47,2.5,459,0.0,0.0,0,0,2018,3,0
569,11,31.3,70,1.0,1227,0.0,0.0,1,0,2018,8,0
237,23,5.5,80,0.6,185,0.0,0.0,3,0,2017,12,5
977,9,29.4,64,2.3,1926,0.0,0.0,1,0,2018,8,3
906,15,16.7,85,1.2,2000,0.0,0.0,0,0,2018,5,4
269,11,-0.4,40,2.3,1633,0.0,0.0,3,0,2018,1,1
12,3,6.5,88,0.9,276,0.3,0.0,0,0,2018,3,0
261,10,3.3,47,0.7,818,0.0,0.0,3,0,2018,2,1
349,0,23.2,98,0.2,927,0.5,0.0,1,0,2018,7,1
484,16,1.2,54,4.2,793,0.0,0.0,3,0,2017,12,4
63,4,2.7,82,2.8,222,0.0,0.0,3,0,2018,2,5
670,14,34.3,45,2.2,1967,0.0,0.0,1,0,2018,7,0
327,3,12.8,57,0.5,1715,0.0,0.0,2,0,2018,10,4
429,7,28.6,71,0.6,1797,0.0,0.0,1,1,2018,8,2
271,18,-0.6,37,1.6,1797,0.0,0.0,3,0,2018,1,5
2057,21,26.8,72,0.4,1985,0.0,0.0,1,0,2018,8,1
139,10,-1.6,32,0.8,1766,0.0,0.0,3,1,2018,1,0
1084,15,13.8,34,2.4,1438,0.0,0.0,2,0,2018,11,0
611,11,32.7,48,2.2,1908,0.0,0.0,1,0,2018,7,0
88,4,6.2,59,0.8,493,0.0,0.0,0,0,2018,3,1
143,4,24.7,49,1.0,1293,0.0,0.0,1,0,2018,6,1
1258,14,27.2,44,2.9,1377,0.0,0.0,1,0,2018,6,1
114,11,1.2,97,2.3,975,0.0,8.8,2,0,2018,11,5
119,3,2.4,90,1.0,269,0.0,0.3,2,0,2018,11,0
2281,8,16.9,65,1.6,896,0.0,0.0,0,0,2018,5,3
396,21,1.0,34,1.4,1880,0.0,0.0,0,0,2018,3,4
1329,23,23.8,81,0.6,1893,0.0,0.0,1,0,2018,8,4
1523,23,24.4,54,1.6,2000,0.0,0.0,2,0,2018,9,5
921,9,10.4,60,1.3,1326,0.0,0.0,2,0,2018,10,5
226,21,0.2,32,1.1,1951,0.0,0.0,3,0,2018,2,6
900,16,14.5,81,1.8,1588,0.0,0.0,2,0,2018,10,4
65,3,-6.3,63,0.9,1425,0.0,0.0,3,0,2018,2,4
2289,17,28.0,50,3.2,1137,0.0,0.0,1,0,2018,6,2
574,16,5.2,21,2.1,1721,0.0,0.0,0,0,2018,3,4
1251,15,18.6,31,1.4,1575,0.0,0.0,2,0,2018,11,4
901,11,20.3,52,0.9,468,0.0,0.0,0,0,2018,4,0
231,1,28.2,88,0.2,929,1.0,0.0,1,0,2018,8,0
124,4,16.9,74,1.2,1199,0.0,0.0,0,0,2018,4,1
275,3,18.4,88,1.6,465,0.0,0.0,1,0,2018,6,3
440,8,12.0,61,1.3,1988,0.0,0.0,2,1,2018,9,1
426,20,-0.3,79,1.5,1913,0.0,0.0,3,0,2017,12,4
137,16,6.1,65,1.5,1465,0.0,0.0,0,0,2018,4,6
2320,19,29.8,68,2.6,1749,0.0,0.0,1,0,2018,7,4
672,9,29.7,58,1.3,1955,0.0,0.0,1,0,2018,8,5
651,14,33.6,55,1.1,1375,0.0,0.0,1,0,2018,8,0
38,5,20.5,97,0.4,384,3.0,0.0,1,0,2018,8,0
393,3,24.4,85,0.6,678,0.0,0.0,1,0,2018,7,3
230,11,3.8,72,0.9,236,0.0,3.4,3,0,2018,2,4
2090,21,22.5,48,1.4,2000,0.0,0.0,2,0,2018,9,0
1516,8,-3.0,43,1.1,2000,0.0,0.0,2,0,2018,11,4
49,3,-5.7,50,1.7,1559,0.0,0.0,0,0,2018,3,4
948,19,23.6,86,3.0,1275,0.0,0.0,1,0,2018,8,4
262,7,-10.1,38,2.3,2000,0.0,0.0,3,0,2017,12,2
334,14,-1.1,28,0.0,2000,0.0,0.0,3,0,2017,12,1
164,2,19.6,97,2.6,201,0.4,0.0,1,0,2018,6,2
1096,14,17.9,42,1.3,1981,0.0,0.0,0,0,2018,4,2
337,9,3.0,66,0.7,306,0.0,0.0,3,0,2018,1,2
940,11,26.5,44,1.4,1958,0.0,0.0,2,0,2018,9,6
